occupation,industry,year,employment
Professionals,"Arts, Entertainment & Recreation",2022,4.4
Professionals,"Other Community, Social & Personal Services",2022,9.6
Professionals,Other Industries Nes,2022,6.7
Associate Professionals & Technicians,All Industries,2022,485.7
Associate Professionals & Technicians,Manufacturing,2022,54.9
Associate Professionals & Technicians,Construction,2022,19.5
Associate Professionals & Technicians,Services,2022,405.9
Associate Professionals & Technicians,Wholesale & Retail Trade,2022,68
Associate Professionals & Technicians,Transportation & Storage,2022,37.4
Associate Professionals & Technicians,Accommodation & Food Services,2022,13.4
Associate Professionals & Technicians,Information & Communications,2022,23.8
Associate Professionals & Technicians,Financial & Insurance Services,2022,51.3
Associate Professionals & Technicians,Real Estate Services,2022,28.5
Associate Professionals & Technicians,Professional Services,2022,46.5
Associate Professionals & Technicians,Administrative & Support Services,2022,12.8
Associate Professionals & Technicians,Public Administration & Education Services,2022,66.3
Associate Professionals & Technicians,Health & Social Services,2022,36.4
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2022,10
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2022,11.5
Associate Professionals & Technicians,Other Industries Nes,2022,5.4
Clerical Support Workers,All Industries,2022,211.8
Clerical Support Workers,Manufacturing,2022,17.9
Clerical Support Workers,Construction,2022,11.8
Clerical Support Workers,Services,2022,180.5
Clerical Support Workers,Wholesale & Retail Trade,2022,34.3
Clerical Support Workers,Transportation & Storage,2022,22.1
Clerical Support Workers,Accommodation & Food Services,2022,7.6
Clerical Support Workers,Information & Communications,2022,9.4
Clerical Support Workers,Financial & Insurance Services,2022,23.3
Clerical Support Workers,Real Estate Services,2022,5.4
Clerical Support Workers,Professional Services,2022,18
Clerical Support Workers,Administrative & Support Services,2022,10.7
Clerical Support Workers,Public Administration & Education Services,2022,17.7
Clerical Support Workers,Health & Social Services,2022,19
Clerical Support Workers,"Arts, Entertainment & Recreation",2022,4.8
Clerical Support Workers,"Other Community, Social & Personal Services",2022,8.2
Clerical Support Workers,Other Industries Nes,2022,1.6
Service & Sales Workers,All Industries,2022,241.2
Service & Sales Workers,Manufacturing,2022,7.3
Service & Sales Workers,Construction,2022,1.1
Service & Sales Workers,Services,2022,232
Service & Sales Workers,Wholesale & Retail Trade,2022,59.4
Service & Sales Workers,Transportation & Storage,2022,8
Service & Sales Workers,Accommodation & Food Services,2022,58
Service & Sales Workers,Information & Communications,2022,2.2
Service & Sales Workers,Financial & Insurance Services,2022,5
Service & Sales Workers,Real Estate Services,2022,3.2
Service & Sales Workers,Professional Services,2022,3.1
Service & Sales Workers,Administrative & Support Services,2022,29.7
Service & Sales Workers,Public Administration & Education Services,2022,18.1
Service & Sales Workers,Health & Social Services,2022,19.3
Service & Sales Workers,"Arts, Entertainment & Recreation",2022,7.9
Service & Sales Workers,"Other Community, Social & Personal Services",2022,18.2
Service & Sales Workers,Other Industries Nes,2022,0.7
Craftsmen & Related Trades Workers,All Industries,2022,53.3
Craftsmen & Related Trades Workers,Manufacturing,2022,15.6
Craftsmen & Related Trades Workers,Construction,2022,14
Craftsmen & Related Trades Workers,Services,2022,23.2
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2022,8.4
Craftsmen & Related Trades Workers,Transportation & Storage,2022,1.4
Craftsmen & Related Trades Workers,Accommodation & Food Services,2022,1.1
Craftsmen & Related Trades Workers,Information & Communications,2022,1
Craftsmen & Related Trades Workers,Financial & Insurance Services,2022,1.3
Craftsmen & Related Trades Workers,Real Estate Services,2022,1.3
Craftsmen & Related Trades Workers,Professional Services,2022,1.4
Craftsmen & Related Trades Workers,Administrative & Support Services,2022,2.5
Craftsmen & Related Trades Workers,Public Administration & Education Services,2022,0.9
Craftsmen & Related Trades Workers,Health & Social Services,2022,0.1
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2022,0.2
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2022,3.5
Craftsmen & Related Trades Workers,Other Industries Nes,2022,0.6
Plant & Machine Operators & Assemblers,All Industries,2022,135.7
Plant & Machine Operators & Assemblers,Manufacturing,2022,14.5
Plant & Machine Operators & Assemblers,Construction,2022,5.8
